일시,prcp,tmax,tmin,wspd,rhum,rsds,지점
2007-01-01,0.0,10.3,1.2,2.5,42.0,7.92,105
2007-01-02,8.0,8.6,3.7,2.6,73.8,5.09,105
2007-01-03,0.5,6.0,2.4,2.1,77.3,1.94,105
2007-01-04,0.0,9.6,1.5,2.9,71.3,7.06,105
2007-01-05,0.0,8.6,1.8,2.4,71.6,5.44,105
2007-01-06,0.4,5.3,-1.2,4.6,56.3,8.77,105
2007-01-07,0.0,3.2,-2.0,6.5,43.1,9.42,105
2007-01-08,0.0,4.4,-2.7,5.7,36.3,11.27,105
2007-01-09,0.0,7.5,-1.6,4.0,29.8,10.56,105
2007-01-10,0.0,6.9,-0.6,3.8,37.4,10.52,105
2007-01-11,0.0,6.5,-0.5,4.2,26.8,8.1,105
2007-01-12,0.0,4.4,-2.7,4.6,29.1,11.18,105
2007-01-13,0.0,3.9,-4.4,3.8,24.4,11.62,105
2007-01-14,0.0,7.3,-2.9,3.3,24.0,11.51,105
2007-01-15,0.0,9.8,0.1,2.9,30.8,10.25,105
2007-01-16,0.0,8.8,0.6,2.9,41.9,7.98,105
2007-01-17,0.0,9.1,2.7,4.4,37.4,9.63,105
2007-01-18,0.0,6.8,-0.8,3.6,45.5,10.76,105
2007-01-19,0.0,9.3,-0.8,3.0,31.3,11.87,105
2007-01-20,0.0,7.5,-0.1,3.2,55.0,9.13,105
2007-01-21,0.0,8.3,-0.6,2.6,72.1,9.16,105
2007-01-22,0.2,6.0,-0.8,2.6,67.1,2.89,105
2007-01-23,0.0,10.8,0.1,2.5,44.0,9.73,105
2007-01-24,0.0,7.9,-0.8,2.4,67.3,5.05,105
2007-01-25,0.0,10.1,-0.6,3.2,29.6,9.81,105
2007-01-26,0.0,6.4,-0.6,3.0,52.9,5.72,105
2007-01-27,0.0,6.9,-1.1,2.5,53.3,6.48,105
2007-01-28,4.4,6.5,-0.1,3.5,69.5,8.81,105
2007-01-29,3.5,7.1,0.5,1.8,79.0,10.94,105
2007-01-30,0.0,6.1,-2.7,4.2,45.5,9.79,105
2007-01-31,0.0,3.0,-4.5,4.6,33.6,13.1,105
2007-02-01,0.0,3.4,-5.9,5.4,34.5,12.07,105
2007-02-02,0.0,5.9,-5.9,4.5,34.1,13.73,105
2007-02-03,0.0,7.5,-0.8,7.2,38.5,8.91,105
2007-02-04,0.0,14.3,2.0,3.3,27.6,13.88,105
2007-02-05,0.0,14.1,6.0,5.4,28.4,7.77,105
2007-02-06,0.0,15.6,4.4,3.6,58.6,11.6,105
2007-02-07,0.0,9.1,1.8,2.9,74.5,9.62,105
2007-02-08,1.5,7.0,1.8,1.5,86.4,2.37,105
2007-02-09,0.0,7.5,4.1,1.8,78.6,4.15,105
2007-02-10,0.0,8.3,3.0,3.4,49.4,10.12,105
2007-02-11,0.0,10.3,0.6,4.3,35.0,14.67,105
2007-02-12,0.0,9.6,1.2,3.3,43.5,14.77,105
2007-02-13,12.5,10.5,2.0,2.7,54.8,4.93,105
2007-02-14,4.5,8.1,-1.8,5.1,51.1,13.54,105
2007-02-15,0.0,7.6,-3.0,6.3,20.4,16.45,105
2007-02-16,0.0,8.8,-0.8,3.6,43.4,15.48,105
2007-02-17,0.0,9.1,1.5,1.9,66.5,6.85,105
2007-02-18,0.5,7.0,1.7,1.8,79.4,2.92,105
2007-02-19,0.0,11.0,1.6,3.0,71.1,11.21,105
2007-02-20,0.0,14.0,3.5,3.4,41.0,15.99,105
2007-02-21,0.0,14.8,6.1,3.0,35.0,13.27,105
2007-02-22,0.0,18.2,7.1,4.4,24.8,12.74,105
2007-02-23,0.0,11.3,1.7,3.3,57.1,7.93,105
2007-02-24,0.0,8.0,1.0,2.8,61.8,13.07,105
2007-02-25,0.0,10.0,1.2,2.5,63.1,8.41,105
2007-02-26,0.0,13.1,2.0,3.2,57.6,17.55,105
2007-02-27,0.1,14.5,3.2,3.3,61.1,5.52,105
2007-02-28,0.0,10.1,1.5,2.6,64.4,17.89,105
2007-03-01,0.0,17.2,-1.3,1.5,59.8,15.36,105
2007-03-02,4.5,10.8,6.4,1.4,85.4,2.77,105
2007-03-03,0.0,11.6,8.1,2.1,87.6,4.53,105
2007-03-04,4.5,9.8,7.4,1.3,93.1,1.77,105
2007-03-05,0.5,12.1,-3.5,7.4,49.1,17.87,105
2007-03-06,0.0,2.5,-6.0,5.7,30.3,19.55,105
2007-03-07,0.0,4.1,-5.8,4.9,31.4,19.47,105
2007-03-08,0.0,8.3,-2.2,4.3,35.5,20.09,105
2007-03-09,0.0,11.8,2.7,4.1,35.6,18.91,105
2007-03-10,0.5,13.1,-0.6,4.9,32.9,15.98,105
2007-03-11,0.0,6.4,-3.0,4.8,22.3,21.18,105
2007-03-12,0.0,10.6,-0.3,4.7,22.9,21.0,105
2007-03-13,0.0,11.3,2.9,3.0,36.1,20.14,105
2007-03-14,0.0,10.8,3.0,2.6,47.9,17.11,105
2007-03-15,1.5,10.1,3.0,2.9,74.5,11.05,105
2007-03-16,4.5,7.5,3.5,2.0,87.5,7.44,105
2007-03-17,9.0,4.8,0.6,1.7,85.0,8.22,105
2007-03-18,0.0,8.8,0.0,2.2,72.0,10.34,105
2007-03-19,19.0,4.4,0.0,1.7,93.1,2.52,105
2007-03-20,0.0,8.5,-1.6,2.2,68.3,14.41,105
2007-03-21,0.0,12.0,4.0,4.3,54.8,13.25,105
2007-03-22,0.0,13.6,8.5,3.7,50.6,14.86,105
2007-03-23,0.0,19.3,10.5,3.5,41.8,17.16,105
2007-03-24,4.5,14.0,8.6,2.4,81.4,3.98,105
2007-03-25,0.0,18.7,10.1,4.9,34.6,21.15,105
2007-03-26,0.0,18.8,7.0,4.4,27.0,18.32,105
2007-03-27,0.0,18.6,9.1,3.6,40.3,13.41,105
2007-03-28,10.5,11.6,3.5,3.0,71.1,4.29,105
2007-03-29,27.5,13.1,1.8,2.5,76.5,14.75,105
2007-03-30,0.5,14.8,4.5,2.7,69.3,20.0,105
2007-03-31,9.0,16.2,8.1,2.9,67.8,5.18,105
2007-04-01,0.0,16.7,7.9,3.3,49.4,10.1,105
2007-04-02,8.0,12.1,3.0,3.2,64.5,10.69,105
2007-04-03,2.0,10.1,2.5,3.0,56.5,15.9,105
2007-04-04,0.0,10.0,2.7,3.6,46.1,23.5,105
2007-04-05,0.0,13.5,2.2,2.7,41.3,21.94,105
2007-04-06,0.0,18.5,9.3,2.6,29.3,20.7,105
2007-04-07,0.0,15.6,9.5,3.3,47.4,15.05,105
2007-04-08,2.5,13.8,5.6,2.5,71.5,13.27,105
2007-04-09,0.0,16.1,7.0,3.3,39.0,23.37,105
2007-04-10,5.5,13.3,7.6,2.4,63.5,5.33,105
2007-04-11,0.0,13.1,6.9,2.1,79.6,11.76,105
2007-04-12,1.5,14.3,7.4,1.7,75.0,6.06,105
2007-04-13,0.5,20.2,8.3,3.9,65.3,12.21,105
2007-04-14,0.0,14.8,6.5,2.7,72.6,18.86,105
2007-04-15,13.0,12.8,7.1,2.9,79.1,9.81,105
2007-04-16,1.0,10.1,6.6,1.7,77.5,7.87,105
2007-04-17,2.5,10.6,5.5,1.7,79.9,11.15,105
2007-04-18,0.5,14.8,4.4,2.0,72.3,18.77,105
2007-04-19,0.0,20.5,6.5,4.2,29.5,13.61,105
2007-04-20,0.3,23.3,14.1,3.3,33.1,12.09,105
2007-04-21,3.0,21.6,12.8,3.0,63.6,22.83,105
2007-04-22,4.0,15.0,7.3,2.7,75.6,6.89,105
2007-04-23,0.0,16.8,6.0,2.9,49.5,24.32,105
2007-04-24,0.0,18.6,7.9,4.0,36.6,10.22,105
2007-04-25,0.0,21.2,12.3,4.7,39.1,21.19,105
2007-04-26,0.0,16.6,8.5,2.4,60.6,18.91,105
2007-04-27,0.0,17.2,7.5,2.4,61.0,24.93,105
2007-04-28,0.0,21.6,10.8,3.5,21.1,26.79,105
2007-04-29,0.0,28.0,16.7,5.7,15.3,25.41,105
2007-04-30,0.2,27.2,13.8,3.4,33.3,11.26,105
2007-05-01,26.5,13.8,11.6,2.5,92.8,3.4,105
2007-05-02,0.5,25.8,10.5,3.2,47.0,25.0,105
2007-05-03,0.0,23.1,17.5,6.1,41.8,17.26,105
2007-05-04,0.0,26.3,18.2,6.0,40.3,16.08,105
2007-05-05,0.0,20.5,12.6,2.9,60.8,24.3,105
2007-05-06,0.0,18.3,10.8,1.7,70.5,18.33,105
2007-05-07,0.0,29.2,10.6,3.6,35.4,25.42,105
2007-05-08,0.0,28.7,19.2,4.5,35.3,21.21,105
2007-05-09,5.0,23.8,11.3,3.7,56.9,14.4,105
2007-05-10,0.0,21.7,9.0,2.6,54.4,24.11,105
2007-05-11,0.0,21.2,10.8,1.9,66.3,21.22,105
2007-05-12,7.5,20.8,13.0,3.3,64.4,8.2,105
2007-05-13,0.0,25.5,13.1,5.1,22.4,28.41,105
2007-05-14,3.0,24.7,13.5,5.3,47.9,15.78,105
2007-05-15,0.0,22.6,11.5,2.6,58.9,25.61,105
2007-05-16,24.0,23.6,14.3,2.0,60.5,6.25,105
2007-05-17,11.5,19.7,13.5,2.7,81.3,19.22,105
2007-05-18,12.0,15.0,11.8,2.1,90.6,5.29,105
2007-05-19,0.5,18.5,11.8,1.7,78.4,16.18,105
2007-05-20,0.0,22.0,11.3,1.9,72.5,26.01,105
2007-05-21,0.0,28.2,15.8,4.1,32.9,23.42,105
2007-05-22,0.0,28.5,18.7,3.6,26.1,28.51,105
2007-05-23,0.0,28.3,20.3,2.7,40.6,16.79,105
2007-05-24,18.5,25.1,14.3,2.2,71.0,14.68,105
2007-05-25,2.5,28.3,14.3,2.4,56.3,24.06,105
2007-05-26,0.0,30.3,18.8,5.2,29.9,27.87,105
2007-05-27,0.0,22.3,14.6,3.0,63.5,17.07,105
2007-05-28,0.0,19.7,13.8,2.8,71.1,19.06,105
2007-05-29,0.0,18.7,15.0,1.9,78.8,9.99,105
2007-05-30,0.0,19.7,15.0,2.5,78.3,17.37,105
2007-05-31,0.0,20.7,11.8,1.9,74.4,29.62,105
2007-06-01,0.0,22.6,12.5,1.4,73.0,14.81,105
2007-06-02,0.0,20.8,13.0,2.2,74.1,25.73,105
2007-06-03,0.0,20.2,14.8,1.7,75.5,11.39,105
2007-06-04,0.0,28.7,13.5,2.1,62.3,19.29,105
2007-06-05,0.0,27.2,22.0,5.3,51.4,27.86,105
2007-06-06,0.0,26.6,21.0,3.2,46.9,27.11,105
2007-06-07,0.0,27.7,18.7,4.5,51.4,19.86,105
2007-06-08,4.0,19.2,14.5,2.3,85.0,3.14,105
2007-06-09,0.1,18.7,14.3,1.9,74.6,4.75,105
2007-06-10,0.0,24.7,15.3,1.9,60.1,28.41,105
2007-06-11,0.0,31.2,14.6,1.7,55.8,27.9,105
2007-06-12,0.0,31.8,19.6,1.7,53.5,26.39,105
2007-06-13,2.0,29.7,19.3,2.8,54.9,23.43,105
2007-06-14,5.0,21.2,18.2,3.6,77.4,8.3,105
2007-06-15,0.2,23.8,14.8,2.8,62.5,19.38,105
