날짜,현재유량,백분위값 10%,백분위값 25%,백분위값 50%,백분위값 75%,백분위값 90%
1996-01-01,0.86,0.55,0.71,1.56,2.46,7.61
1996-01-02,0.86,0.539,0.6775,1.14,2.46,7.61
1996-01-03,0.86,0.53,0.64,0.73,2.46,7.61
1996-01-04,0.86,0.31,0.64,0.86,2.46,7.61
1996-01-05,0.72,0.342,0.66,0.855,2.46,7.61
1996-01-06,0.72,0.328,0.61,0.725,2.46,7.61
1996-01-07,0.72,0.297,0.5875,0.72,2.61,7.61
1996-01-08,0.72,0.341,0.58,0.72,4.83,7.61
1996-01-09,0.06,0.22,0.54,0.7,2.46,7.61
1996-01-10,0.06,0.06,0.54,1.31,2.46,7.61
1996-01-11,0.23,0.21,0.57,1.12,2.46,7.61
1996-01-12,0.06,0.06,0.51,1.01,2.46,7.61
1996-01-13,0.06,0.38,0.55,1.03,7.61,26.42
1996-01-14,0.06,0.13,0.51,1.07,2.46,7.61
1996-01-15,0.06,0.072,0.5125,1,2.46,7.61
1996-01-16,0.06,0.076,0.5275,1.005,2.46,7.61
1996-01-17,0.06,0.103,0.505,0.935,2.46,24.539
1996-01-18,0.06,0.269,0.5025,0.94,2.46,7.61
1996-01-19,0.06,0.392,0.53,0.9,2.46,7.61
1996-01-20,0.06,0.445,0.51,0.825,2.46,7.61
1996-01-21,0.06,0.109,0.5,0.79,3.1525,7.61
1996-01-22,0.06,0.464,0.5175,0.86,2.7825,7.61
1996-01-23,0.06,0.327,0.5125,0.735,2.7825,7.61
1996-01-24,0.06,0.212,0.55,0.895,3.72,7.61
1996-01-25,0.06,0.511,0.5825,1.05,2.46,7.61
1996-01-26,0.06,0.43,0.5325,1.2,3.6525,7.61
1996-01-27,0.06,0.344,0.555,1.125,2.46,7.61
1996-01-28,0.06,0.471,0.54,1.105,3.735,7.997
1996-01-29,0.06,0.438,0.5325,1.125,2.825,7.61
1996-01-30,0.06,0.53,0.565,1.665,4.1425,7.61
1996-01-31,0.06,0.52,0.61,2,3.44,7.61
1996-02-01,0.06,0.521,0.55,1.68,3.81,7.61
1996-02-02,0.06,0.45,0.52,1.04,4.86,13.22
1996-02-03,0.06,0.24,0.52,1.01,3.1,8.186
1996-02-04,0.06,0.264,0.52,1,2.46,11.442
1996-02-05,0.06,0.314,0.49,0.72,2.46,11.442
1996-02-06,0.06,0.387,0.4875,0.8,2.535,11.921
1996-02-07,0.06,0.431,0.4925,0.815,2.46,11.921
1996-02-08,0.06,0.471,0.5475,0.845,2.345,11.921
1996-02-09,0.06,0.442,0.5575,0.97,2.55,11.921
1996-02-10,0.06,0.472,0.54,1.24,2.46,11.921
1996-02-11,0.06,0.463,0.525,1.1,2.46,11.921
1996-02-12,0.06,0.396,0.505,0.78,2.46,11.921
1996-02-13,0.06,0.436,0.555,1.3,2.46,11.442
1996-02-14,0.06,0.452,0.5525,1.67,2.46,11.921
1996-02-15,0.06,0.474,0.655,1.47,2.46,11.921
1996-02-16,0.06,0.49,0.625,1.46,2.55,12.023
1996-02-17,0.06,0.466,0.555,1.375,2.46,11.921
1996-02-18,0.06,0.446,0.5475,1.145,2.4725,10.963
1996-02-19,0.06,0.486,0.535,0.89,2.46,12.202
1996-02-20,0.06,0.444,0.53,0.89,2.46,16.464
1996-02-21,0.06,0.404,0.525,0.88,2.46,11.934
1996-02-22,0.06,0.438,0.57,1.73,2.46,11.442
1996-02-23,0.06,0.406,0.57,2,4.285,11.442
1996-02-24,0.06,0.39,0.605,1.82,2.75,11.524
1996-02-25,0.06,0.358,0.555,2,3.735,23.616
1996-02-26,0.06,0.338,0.54,2,5.71,23.616
1996-02-27,0.06,0.366,0.535,2,5.315,12.06
1996-02-28,0.06,0.462,0.595,2,7.06,12.166
1996-02-29,0.06,0.296,0.65,1.63,2,3.998
1996-03-01,0.06,0.46,0.59,2.36,7.61,12.536
1996-03-02,0.06,0.442,0.595,2,7.61,12.596
1996-03-03,0.06,0.364,0.48,2,7.17,12.002
1996-03-04,0.06,0.399,0.5025,1.965,6.9725,11.453
1996-03-05,0.06,0.368,0.595,2,6.945,12.002
1996-03-06,0.06,0.406,0.595,2.08,5.865,12.392
1996-03-07,0.06,0.446,0.59,2,5.495,12.784
1996-03-08,0.06,0.453,0.735,2.06,5.795,11.783
1996-03-09,0.06,0.386,0.675,2,6.835,12.132
1996-03-10,0.06,0.342,0.64,1.93,7.395,12.432
1996-03-11,0.06,0.302,0.605,2,6.985,13.452
1996-03-12,0.06,0.336,0.59,2.46,7.61,15.052
1996-03-13,0.06,0.443,0.8225,2.9,8.0725,23.033
1996-03-14,0.06,0.434,0.745,3.655,7.61,22.586
1996-03-15,0.06,0.428,0.655,3.275,7.61,25.064
1996-03-16,0.06,0.398,0.55,2.46,6.61,36.716
1996-03-17,0.06,0.452,0.51,2.38,7.61,40.846
1996-03-18,0.06,0.49,0.685,2.46,8.3525,44.252
1996-03-19,0.06,0.4,0.9,2.46,7.61,36.796
1996-03-20,0.06,0.475,0.855,2.86,8.5475,42.857
1996-03-21,0.06,0.501,0.8525,3.05,7.92,34.807
1996-03-22,0.06,0.494,0.75,2.865,10.2875,42.398
1996-03-23,0.06,0.594,0.73,2.67,7.845,58.014
1996-03-24,0.06,0.574,0.68,2.46,7.61,28.93
1996-03-25,0.06,0.53,0.6875,2.435,7.61,27.443
1996-03-26,0.06,0.51,0.71,2.46,7.61,59.322
1996-03-27,0.06,0.474,0.66,2.46,7.61,61.71
1996-03-28,0.06,0.468,0.72,2.46,8.65,75.704
1996-03-29,0.06,0.468,0.7,2.46,7.79,65.562
1996-03-30,8.42,0.492,0.7,2.95,8.28,60.994
1996-03-31,8.42,0.492,1.36,2.46,7.83,70.302
1996-04-01,8.42,0.56,1.41,2.68,8.315,58.85
1996-04-02,5.38,0.535,1.1725,2.72,11.7575,48.47
1996-04-03,1.21,0.675,1.2325,2.46,11.6675,71.425
1996-04-04,0.40,0.445,1.3375,3.95,9.44,68.035
1996-04-05,0.50,0.48,1.03,3.83,8.24,59.456
